index,user_id,clicks__n_total,clicks__avg_scrollY,clicks__session_gap_cv,clicks__scroll_depth_max,heartbeat__n_total,heartbeat__avg_idle_time,heartbeat__scroll_depth_max,heartbeat__avg_scrollY,q__n_questions_viewed,q__n_unique_urls,q__maj_track,q__n_unique_courses,q__avg_question_number,q__n_active_days,q__revisit_rate,media__n_play_events,media__n_unique_media,media__total_watch_min,media__n_unique_urls,media__media_type_diversity,media__audio_pct,media__completion_rate,label,unique_math_qids,unique_text_qids,unique_quiz_qids,content_entropy,ts__q_bin1,ts__q_bin2,ts__q_bin3,ts__q_trend,ts__q_recency,ts__pv_bin1,ts__pv_bin2,ts__pv_bin3,ts__pv_trend,ts__pv_recency,ts__score_first,ts__score_last,ts__score_delta
1087,6314,10167.0,0.0,22.445032183348246,0.0,21955,1766577874.9405134,0.0,0.0,213.0,11.0,0.0,2.0,,12.0,1.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0,59.0,71.0,116.0,0.8333584790903137,0.0,0.0,8.0,8.0,1.0,53.0,14.0,293.0,240.0,0.8138888888888889,,,
1089,6316,3888.0,0.0,15.034057869648764,0.0,50249,1768448723.6751943,0.0,0.0,261.0,27.0,0.0,2.0,,24.0,0.9961685823754789,0.0,1.0,0.0,25.0,1.0,0.0,0.0,0,20.0,46.0,159.0,0.8651710220661067,69.0,107.0,57.0,-12.0,0.2446351931330472,385.0,279.0,136.0,-249.0,0.17,,,
1092,6320,1516.0,0.0,9.090301822005083,0.0,13961,1765645648.961865,0.0,0.0,311.0,18.0,0.0,1.0,,17.0,0.9967845659163987,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0,50.0,0.0,115.0,0.8032747904294829,,,,,,12.0,4.0,15.0,3.0,0.4838709677419355,,,
1094,6322,542.0,0.0,12.460140612141618,0.0,2163,1763920405.4051812,0.0,0.0,38.0,2.0,0.0,1.0,,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,46.0,0.6136190195993708,1.0,0.0,0.0,-1.0,0.0,18.0,3.0,0.0,-18.0,0.0,,,
1101,6329,4708.0,0.0,12.600767496534177,0.0,38308,1767097354.4225936,0.0,0.0,795.0,39.0,0.0,2.0,,30.0,0.9987421383647799,0.0,1.0,0.0,22.0,1.0,0.0,0.0,1,0.0,0.0,315.0,0.9451747295328011,70.0,133.0,115.0,45.0,0.36163522012578614,57.0,124.0,133.0,76.0,0.42356687898089174,,,
1103,6331,1811.0,0.0,13.846510485764227,0.0,11526,1765275635.3797393,0.0,0.0,170.0,16.0,0.0,2.0,,6.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,43.0,102.0,182.0,1.0849078828846663,,,,,,9.0,5.0,29.0,20.0,0.6744186046511628,,,
1107,6336,3055.0,0.0,14.812231643185592,0.0,19386,1765231277.2589426,0.0,0.0,215.0,18.0,0.0,2.0,,12.0,0.9953488372093023,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0,11.0,102.0,154.0,0.9231197001456839,0.0,1.0,10.0,10.0,0.9090909090909091,54.0,63.0,119.0,65.0,0.5042372881355932,,,
1109,6338,1977.0,0.0,14.103086417855978,0.0,8030,1763015377.8926673,0.0,0.0,193.0,16.0,0.0,2.0,,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,82.0,146.0,1.0432617139928178,,,,,,,,,,,,,
1117,6347,3475.0,0.0,18.86948657648203,0.0,27576,1768086938.5690591,0.0,0.0,593.0,22.0,1.0,2.0,,8.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1,0.0,81.0,213.0,1.054142668530036,0.0,0.0,254.0,254.0,1.0,33.0,54.0,457.0,424.0,0.8400735294117647,,,
1120,6350,1371.0,0.0,12.674361973159272,0.0,13313,1764072367.6113284,0.0,0.0,129.0,11.0,0.0,2.0,,6.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,19.0,30.0,114.0,0.9936139213181316,,,,,,10.0,1.0,0.0,-10.0,0.0,,,
1122,6355,843.0,0.0,17.23438780576372,0.0,7458,1765812485.834903,0.0,0.0,101.0,7.0,1.0,2.0,,5.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,0.0,68.0,0.9948243847691667,0.0,0.0,12.0,12.0,1.0,27.0,14.0,37.0,10.0,0.47435897435897434,,,
1125,6368,419.0,0.0,10.109574716990773,0.0,5452,1764236301.0960176,0.0,0.0,40.0,6.0,0.0,2.0,,6.0,0.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,30.0,0.8198800490243343,1.0,0.0,0.0,-1.0,0.0,23.0,4.0,5.0,-18.0,0.15625,,,
1127,6370,1016.0,0.0,9.964604002092281,0.0,9388,1765405849.974289,0.0,0.0,143.0,5.0,0.0,1.0,,6.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,0.0,33.0,1.1073891856989362,,,,,,17.0,6.0,63.0,46.0,0.7325581395348837,,,
1156,6405,976.0,0.0,14.468231610238146,0.0,3865,1766141305.6850407,0.0,0.0,49.0,3.0,1.0,2.0,,5.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1,0.0,0.0,82.0,0.6955332884432576,0.0,0.0,18.0,18.0,1.0,0.0,52.0,59.0,59.0,0.5315315315315315,,,
1157,6406,35.0,0.0,5.828836884216963,0.0,837,1761735433.7689157,0.0,0.0,,,,,,,,,,,,,,,1,0.0,0.0,49.0,-0.0,,,,,,,,,,,,,
1160,6410,361.0,0.0,7.6549015717925215,0.0,3588,1766958702.6647718,0.0,0.0,2.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0,0.0,0.0,16.0,0.8076702057269436,2.0,0.0,0.0,-2.0,0.0,18.0,35.0,30.0,12.0,0.3614457831325301,,,
1167,6418,3751.0,0.0,10.12496355102289,0.0,33296,1764930400.0382683,0.0,0.0,966.0,29.0,1.0,2.0,,26.0,0.9989648033126294,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0,0.0,164.0,263.0,1.2096065216492415,67.0,147.0,134.0,67.0,0.3850574712643678,52.0,178.0,108.0,56.0,0.31952662721893493,,,
1170,6423,2826.0,0.0,10.714780575855722,0.0,42260,1762450326.5953107,0.0,0.0,382.0,34.0,0.0,2.0,0.0,19.0,0.9947643979057592,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0,23.0,0.0,253.0,1.1248978536235406,11.0,0.0,103.0,92.0,0.9035087719298246,21.0,16.0,126.0,105.0,0.7730061349693251,,,
1171,6424,5421.0,0.0,10.378423056956084,0.0,55852,1765900112.0436494,0.0,0.0,613.0,23.0,1.0,2.0,,31.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,0.0,127.0,199.0,1.4337711179406305,28.0,86.0,32.0,4.0,0.2191780821917808,173.0,138.0,122.0,-51.0,0.2817551963048499,,,
1175,6428,2397.0,0.0,8.79767549914113,0.0,42585,1764784522.7747035,0.0,0.0,397.0,21.0,1.0,2.0,,31.0,1.0,,,,,,,,0,0.0,122.0,135.0,1.2998897440540533,61.0,22.0,0.0,-61.0,0.0,38.0,68.0,69.0,31.0,0.3942857142857143,,,
